Station,"Date and Time","Air Temp",RH,Dewpoint,"Solar Rad",Precip,Wind,"Wind Dir","Gust Speed","Gust Dir","5cm Soil Temp","15cm Soil Temp"
id,"date time","deg F","%","deg F",W/m2,in,mph,degrees,mph,degrees,"deg F","deg F"
fcl01,"09/27/2024 00:00",62.02,0.471,41.6,0.0,0.0,0.09,75.5,1.49,75.2,66.6,67.32
fcl01,"09/27/2024 01:00",59.4,0.555,43.46,0.0,0.0,0.06,118.1,1.32,87.1,65.73,66.99
fcl01,"09/27/2024 02:00",58.26,0.561,42.66,0.0,0.0,0.9,34.2,6.62,0.8,64.81,66.6
fcl01,"09/27/2024 03:00",61.25,0.377,35.19,0.0,0.0,1.08,3.5,4.91,333.9,63.99,66.15
fcl01,"09/27/2024 04:00",61.03,0.368,34.39,0.0,0.0,0.57,8.0,2.89,63.4,63.27,65.7
fcl01,"09/27/2024 05:00",59.68,0.427,36.95,0.0,0.0,0.45,344.3,3.16,0.1,62.62,65.23
fcl01,"09/27/2024 06:00",62.15,0.372,35.71,0.43,0.0,0.63,2.4,5.17,11.3,62.11,64.8
fcl01,"09/27/2024 07:00",61.74,0.419,38.36,40.38,0.0,0.07,254.6,1.32,234.4,61.83,64.4
fcl01,"09/27/2024 08:00",66.09,0.402,41.22,247.8,0.0,0.64,24.6,3.99,14.4,61.74,64.06
fcl01,"09/27/2024 09:00",74.21,0.314,41.93,447.9,0.0,0.37,351.4,3.07,25.3,62.26,63.82
fcl01,"09/27/2024 10:00",77.85,0.26,40.17,616.0,0.0,1.67,26.0,6.49,89.5,63.73,63.79
fcl01,"09/27/2024 11:00",80.2,0.227,38.69,746.6,0.0,3.08,64.7,8.9,76.7,65.75,64.08
fcl01,"09/27/2024 12:00",82.83,0.206,38.41,792.9,0.0,1.9,59.8,10.04,92.3,68.07,64.69
fcl01,"09/27/2024 13:00",83.97,0.194,37.89,780.7,0.0,3.28,125.9,8.77,67.7,70.16,65.53
fcl01,"09/27/2024 14:00",84.74,0.2,39.29,701.8,0.0,4.38,124.9,12.76,113.2,71.89,66.51
fcl01,"09/27/2024 15:00",85.15,0.21,40.83,567.0,0.0,5.03,153.1,11.79,99.4,73.24,67.53
fcl01,"09/27/2024 16:00",84.65,0.21,40.37,388.9,0.0,5.49,166.9,12.93,132.8,73.92,68.49
fcl01,"09/27/2024 17:00",83.48,0.21,39.46,160.0,0.0,4.57,169.4,9.12,134.0,73.8,69.24
fcl01,"09/27/2024 18:00",79.27,0.265,41.91,11.3,0.0,4.05,189.7,8.02,197.3,72.97,69.69
fcl01,"09/27/2024 19:00",72.36,0.367,44.42,0.0,0.0,0.45,217.6,3.68,166.0,71.87,69.84
fcl01,"09/27/2024 20:00",68.02,0.431,44.77,0.0,0.0,0.19,62.7,3.2,73.4,70.66,69.73
fcl01,"09/27/2024 21:00",66.02,0.486,46.1,0.0,0.0,0.18,57.6,2.02,69.8,69.48,69.44
fcl01,"09/27/2024 22:00",62.67,0.578,47.61,0.0,0.0,0.34,1.7,2.94,58.3,68.41,69.04
fcl01,"09/27/2024 23:00",60.4,0.613,47.02,0.0,0.0,0.24,337.4,3.46,319.8,66.85,68.59
